idCadastro,dadosDeputadoOrgaoPlenario,depId,depCadId,depNomeParlamentar,depGP,pt_ar_wsgode_objectos_DadosSituacaoGP,gpId,gpSigla,gpDtInicio,gpDtFim,depCPId,depCPDes,legDes,depSituacao,pt_ar_wsgode_objectos_DadosSituacaoDeputado,sioDes,sioDtInicio,depNomeCompleto,sioDtFim,depCargo,pt_ar_wsgode_objectos_DadosCargoDeputado,carId,carDes,carDtInicio
9008,,15760.0,9008.0,Francisco Lima,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Renunciou,2025-06-03,Francisco Gabriel Meneses de Lima,,,,,,
9009,,15761.0,9009.0,Olivéria Santos,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Desistência,2025-06-03,Olivéria de Lurdes Cabral dos Santos,,,,,,
8196,,15762.0,8196.0,Ana Martins,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Efetivo Definitivo,2025-06-03,Ana Maria Lourenço Martins,,,,,,
8897,,15763.0,8897.0,Pedro Rodrigues,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Pedro Miguel Ramalho Furtado Rodrigues,,,,,,
9010,,15764.0,9010.0,João Ferreira Costa,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,João Paulo Ferreira Costa,,,,,,
8756,,15765.0,8756.0,Carla Dias,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Carla Sofia de Jesus Dias,,,,,,
8376,,15766.0,8376.0,José Sousa,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,José Paulo Machado Sousa,,,,,,
9011,,15767.0,9011.0,Tatiana Gil,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Tatiana Maria Pires Gil,,,,,,
9012,,15768.0,9012.0,Gualter Sousa,,,7262.0,CH,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Gualter Manuel da Rosa Sousa,,,,,,
7341,,15769.0,7341.0,Francisco César,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Efetivo,2025-06-03,Francisco Miguel Vital Gomes do Vale César,,,,,,
1468,,15770.0,1468.0,Sérgio Ávila,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Sérgio Humberto Rocha de Ávila,,,,,,
9013,,15771.0,9013.0,Renata Botelho,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Renata Correia Botelho,,,,,,
9014,,15772.0,9014.0,Hugo Pacheco,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Hugo Miguel Ferreira Teixeira Pacheco,,,,,,
9015,,15773.0,9015.0,Márcia Pereira,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Márcia Carina Silva Fortunato Pereira,,,,,,
8891,,15774.0,8891.0,Pedro Teixeira,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Pedro Miguel de Figueiredo Carvalho Arruda Teixeira,,,,,,
9016,,15775.0,9016.0,Bernadete Pacheco,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Bernadete Nóia Pacheco,,,,,,
9017,,15776.0,9017.0,Lisandra Freitas,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Lisandra Patrícia da Silveira Freitas,,,,,,
9018,,15777.0,9018.0,Rui Pimentel,,,7263.0,PS,2025-06-03,2025-11-27,19,Açores,XVII,,,Suplente,2025-06-03,Rui Miguel Domingos Pimentel,,,,,,
