iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniId,iniAutorOutros,iniAnexos,iniEventos,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,idComissao,nomeComissao,competenteComissao,resultado,reuniao,ausencias,PSD,CH,PS,CDS-PP,IL,L,PCP,BE,PAN,data,unanime,JPP,tipoReuniao,descricao,iniAutorDeputados,iniAutorGruposParlamentares,peticoes,iniTextoSubstCampo,publicacao,iniciativasOrigem,iniciativasOriginadas,ano,leg
2,138955,I,D,Projeto de Deliberação,XVII,1,2025-06-03,Distribuição de lugares nas reuniões plenárias da XVII Legislatura,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a566d4d474e6a59574d334c57566b4d6a45744e446c684f53316959545a684c57526b4d6a49324f4445324d6d55775a53356b62324e34&fich=5f0ccac7-ed21-49a9-ba6a-dd2268162e0e.docx&Inline=true,315096,,,,Votação Deliberação,R,PAR,PAR,,,,Rejeitado,3,,Contra,Contra,A Favor,Contra,Abstenção,A Favor,A Favor,A Favor,Abstenção,2025-06-18,,A Favor,RP,"Proposta de alteração, apresentada pelo L, ao anexo do Projeto de Deliberação n.º 2/XVII/1.ª (PAR)",,,,,,,,2025,l17
2,138956,I,D,Projeto de Deliberação,XVII,1,2025-06-03,Distribuição de lugares nas reuniões plenárias da XVII Legislatura,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a566d4d474e6a59574d334c57566b4d6a45744e446c684f53316959545a684c57526b4d6a49324f4445324d6d55775a53356b62324e34&fich=5f0ccac7-ed21-49a9-ba6a-dd2268162e0e.docx&Inline=true,315096,,,,Votação Deliberação,R,PAR,PAR,,,,Aprovado,3,,A Favor,A Favor,Contra,A Favor,Abstenção,Contra,Contra,Contra,Abstenção,2025-06-18,,Contra,RP,,,,,,,,,2025,l17
24,138954,I,R,Projeto de Resolução,XVII,1,2025-06-03,Deslocação do Presidente da República a Moçambique,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a426c5a6a67354f54686c4c54497a596a6b744e444533597931694e7a6c6d4c5446695a4751345a5756694e6a6b794d43356b62324d3d&fich=0ef8998e-23b9-417c-b79f-1bdd8eeb6920.doc&Inline=true,315081,,,,Votação Deliberação,R,PAR,PAR,,,,Aprovado,3,,A Favor,A Favor,A Favor,A Favor,Contra,A Favor,A Favor,A Favor,A Favor,2025-06-18,,A Favor,RP,,,,,,,,,2025,l17
64,139014,I,R,Projeto de Resolução,XVII,1,2025-06-03,Pelo reconhecimento e dignificação dos farmacêuticos na defesa e valorização do SNS,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a55325a5749774d6a4d324c5463774e7a67744e4455784e4330354e4459324c5451774d6d457a4d4445354f47526c4d53356b62324e34&fich=56eb0236-7078-4514-9466-402a30198de1.docx&Inline=true,315138,,,,Votação na generalidade,G,Grupos Parlamentares,BE,,,,Rejeitado,6,,Contra,A Favor,Abstenção,Contra,Abstenção,A Favor,A Favor,A Favor,A Favor,2025-06-27,,A Favor,RP,,,BE,,,,,,2025,l17
63,139022,I,R,Projeto de Resolução,XVII,1,2025-06-03,Pela construção do novo Hospital Central do Algarve e do Centro Oncológico do Algarve,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a5a6a597a6b314f5459334c54517a4d4755744e44553359693168596d59314c5759774e6d51325a6d59794e44557a5a69356b62324e34&fich=6cc95967-430e-457b-abf5-f06d6ff2453f.docx&Inline=true,315131,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,8455,Comissão de Saúde ,N,Aprovado,6,,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Contra,A Favor,A Favor,2025-06-27,,A Favor,RP,,,PAN,,,,,,2025,l17
43,139019,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo que proceda ao lançamento do concurso para a construção do Hospital Central do Algarve,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32557a4f44566b4d6a55784c5755334f5449744e4752695a4331684e5467314c5467334e54646b4f4756685a6a49325979356b62324e34&fich=e385d251-e792-4dbd-a585-8757d8eaf26c.docx&Inline=true,315109,,,,Votação na generalidade,G,Grupos Parlamentares,CH,8455,Comissão de Saúde ,N,Aprovado,6,,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,Abstenção,A Favor,A Favor,2025-06-27,,A Favor,RP,,,CH,,,,,,2025,l17
61,139013,I,R,Projeto de Resolução,XVII,1,2025-06-03,Pela valorização dos farmacêuticos do Serviço Nacional de Saúde,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3246694d7a526b4d4745344c574d7a5a574d744e444578596931695a6a63324c54677a597a42694e324d304d4745334f43356b62324e34&fich=ab34d0a8-c3ec-411b-bf76-83c0b7c40a78.docx&Inline=true,315129,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,8455,Comissão de Saúde ,N,Aprovado,6,,Contra,A Favor,A Favor,Contra,Abstenção,A Favor,A Favor,A Favor,A Favor,2025-06-27,,A Favor,RP,,,PAN,,,,,,2025,l17
70,139025,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo a construção de um novo Hospital Central do Algarve,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32457a595745774d5751784c546377595449744e4467795a4331695a4451314c5759784d446c6a5a574d35596a56684f43356b62324e34&fich=a3aa01d1-70a2-482d-bd45-f109cec9b5a8.docx&Inline=true,315144,,,,Votação na generalidade,G,Grupos Parlamentares,PSD,8455,Comissão de Saúde ,N,Aprovado,6,,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,Contra,Abstenção,A Favor,2025-06-27,,A Favor,RP,,,PSD,,,,,,2025,l17
65,139023,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo que desencadeie as ações necessárias para a rápida construção do Hospital Central do Algarve,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a566c59546b35593255304c574d315a544d744e4745344e4330354e474a694c5449355a54466c4e5451345a5451324d79356b62324e34&fich=5ea99ce4-c5e3-4a84-94bb-29e1e548e463.docx&Inline=true,315139,,,,Votação na generalidade,G,Grupos Parlamentares,BE,,,,Rejeitado,6,,Contra,Contra,A Favor,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-06-27,,A Favor,RP,,,BE,,,,,,2025,l17
69,139011,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo a revisão e atualização do Plano Nacional de Vacinação no âmbito da vacinação do adulto ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a64694d6a67795a546b784c54566c4d7a45744e44466d4d7930354d6a466c4c57466b597a55314d5759334e6a597a4f53356b62324e34&fich=7b282e91-5e31-41f3-921e-adc551f76639.docx&Inline=true,315143,,,,Votação na generalidade,G,Grupos Parlamentares,PS,8455,Comissão de Saúde ,N,Aprovado,6,,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,2025-06-27,,A Favor,RP,,,PS,,,,,,2025,l17
