fase,Entrada_data,Admissão_data,Anúncio_data,Baixacomissãoparadiscussão_data,Apreciação_data,Votaçãonageneralidade_data,Baixacomissãoespecialidade_data,Votaçãofinalglobal_data,iniNr,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniId,iniAutorOutros,iniEventos,iniAutorDeputados,iniAutorGruposParlamentares,idCadastro,nome,GP,depCPDes,Publicação_data,EnvioàComissãoparafixaçãodaRedaçãofinal_data,peticoes,VotaçãoDeliberação_data,ResoluçãoPublicaçãoDAR_data,EnvioINCM_data,ResoluçãodaARPublicaçãoDR_data,Retiradadainiciativa_data,iniObs,iniTextoSubstCampo,iniAnexos,Baixacomissãodistribuiçãoinicialgeneralidade_data,Discussãogeneralidade_data,Requerimento_data,DecretoPublicação_data,Envioparapromulgação_data,Promulgação_data,Referenda_data,LeiPublicaçãoDR_data,AudiçãopromovidapeloPARparaaALRAA_data,AudiçãopromovidapeloPARparaaALRAM_data,AudiçãopromovidapeloPARparaoGovernodaRAA_data,AudiçãopromovidapeloPARparaoGovernodaRAM_data,ParecerdaALRAM_data,ParecerdoGovernodaRAA_data,ParecerdaALRAA_data,PublicaçãoemSeparata_data,ParecerdoGovernodaRAM_data,NovaaudiçãopromovidapeloPARparaoGovernodaRAA_data,RequerimentoBaixaComissãosemVotaçãoGeneralidade_data,Novaapreciaçãocomissãogeneralidade_data,iniciativasOriginadas,DeliberaçãoPublicaçãoDAR_data,AdmissãoPropostadeAlteração_data,ApreciaçãodeDecretoLei_data,Votaçãonaespecialidade_data,VetoReceção_data,VetoLeitura_data,VetoPublicação_data,AdmissãoPropostadeAlteraçãodecreto_data,Reapreciaçãododecreto_data,Votaçãonovodecreto_data,Decreto2ªversãoPublicação_data,Envioparapromulgação2ªversão_data,Promulgação2ªversão_data,Referenda2ªversão_data,EnvioINCM2ªversão_data,Requerimentodispensaredaçãofinal_data,leg
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,7356,Isabel Mendes Lopes,L,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,8869,Jorge Pinto,L,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,6932,Paulo Muacho,L,Setúbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,8491,Filipa Pinto,L,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,6968,Patrícia Gonçalves,L,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãofinalglobal,2025-06-03,2025-06-06,2025-06-17,2025-07-02,2025-07-09,2025-07-11,2025-07-11,2025-10-28,12,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda a regulamentação urgente do Fundo de Emergência para a Habitação
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6c68596a55774f4464684c57526a4d6a63744e4463324d4330344d7a67354c5449775a574d774d4445354f47497a5969356b62324e34&fich=9ab5087a-dc27-4760-8389-20ec00198b3b.docx&Inline=true,315050,,,,,7337,Rui Tavares,L,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
EnvioàComissãoparafixaçãodaRedaçãofinal,2025-06-17,2025-06-18,2025-06-25,,2025-07-03,2025-07-04,2025-07-04,2025-10-28,39,R,Projeto de Resolução,XVII,1,2025-06-03,Pela contratação de terapeutas e psicólogos para o apoio de crianças com Necessidades Educativas Especiais,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32566c4d5463314d5463304c5467354d7a6b744e4751335a5331684d6d59354c5746695a6a41334e4751344f5745324d43356b62324e34&fich=ee175174-8939-4d7e-a2f9-abf074d89a60.docx&Inline=true,315102,,,,,7336,Pedro Pinto,CH,Faro,2025-06-17,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
EnvioàComissãoparafixaçãodaRedaçãofinal,2025-06-17,2025-06-18,2025-06-25,,2025-07-03,2025-07-04,2025-07-04,2025-10-28,39,R,Projeto de Resolução,XVII,1,2025-06-03,Pela contratação de terapeutas e psicólogos para o apoio de crianças com Necessidades Educativas Especiais,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32566c4d5463314d5463304c5467354d7a6b744e4751335a5331684d6d59354c5746695a6a41334e4751344f5745324d43356b62324e34&fich=ee175174-8939-4d7e-a2f9-abf074d89a60.docx&Inline=true,315102,,,,,8613,Maria José Aguiar,CH,Aveiro,2025-06-17,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
EnvioàComissãoparafixaçãodaRedaçãofinal,2025-06-17,2025-06-18,2025-06-25,,2025-07-03,2025-07-04,2025-07-04,2025-10-28,39,R,Projeto de Resolução,XVII,1,2025-06-03,Pela contratação de terapeutas e psicólogos para o apoio de crianças com Necessidades Educativas Especiais,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32566c4d5463314d5463304c5467354d7a6b744e4751335a5331684d6d59354c5746695a6a41334e4751344f5745324d43356b62324e34&fich=ee175174-8939-4d7e-a2f9-abf074d89a60.docx&Inline=true,315102,,,,,4365,Manuela Tender,CH,Vila Real,2025-06-17,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
EnvioàComissãoparafixaçãodaRedaçãofinal,2025-06-17,2025-06-18,2025-06-25,,2025-07-03,2025-07-04,2025-07-04,2025-10-28,39,R,Projeto de Resolução,XVII,1,2025-06-03,Pela contratação de terapeutas e psicólogos para o apoio de crianças com Necessidades Educativas Especiais,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32566c4d5463314d5463304c5467354d7a6b744e4751335a5331684d6d59354c5746695a6a41334e4751344f5745324d43356b62324e34&fich=ee175174-8939-4d7e-a2f9-abf074d89a60.docx&Inline=true,315102,,,,,8353,José Carvalho,CH,Porto,2025-06-17,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
